,Fabian4a,Fabian4b,Fabian4c,Fabian5a,Fabian5b,Fabian5c,Fabian5d,Fabian5e,Fabian5f,Fabian6a,Fabian6b,Fabian6c,Fabian7a,Fabian7b,Leonhard2a,Leonhard2b,Leonhard2c,Leonhard8a,Leonhard8b
a11,0.01,0.01,0.1,0.1,0.1,0.4,0.4,0,0,0.4,0.4,0.4,0.01,1,0.001,0.05,0.4,0.001,0.4
a12,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.5,0.5,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
a13,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.5,0.5,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
a1t,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.1,0.9,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
a21,0.01,0.01,0.1,0.1,0.1,0.4,0.4,0,0,0.4,0.4,0.4,1,0.01,0.001,0.05,0.4,0.4,0.001
a22,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.5,0.5,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
a23,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.5,0.5,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
a2t,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.1,0.9,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
b1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0,0.00001,0.00001,0.00001,-0.19,-0.19,0.00001,0.00001,0.00001,-0.23,-0.23
b2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.5,0.5,0.2,0.5,0.5,0.5,0.5
bt,0.9,0.1,0.5,0.1,0.9,0.9,0.1,0.1,0.9,0.1,0.5,0.9,1,0,0.9,0.9,0.9,0.9,0.9
